Source,Target,Type,Weight,Friendly/Hostile,Pages
42,10,undirected,1,Hostile,119
42,75,undirected,1,Friendly,121
10,75,undirected,1,Hostile,121
77,76,undirected,2,Friendly,"122, 142"
77,27,undirected,2,Friendly,"122, 147"
76,27,undirected,1,Friendly,122
59,28,undirected,2,Friendly,"123, 244"
57,59,undirected,2,Friendly,"123, 244"
57,17,undirected,2,Friendly,"123, 146"
59,17,undirected,1,Friendly,123
27,57,undirected,4,Friendly,"124, 146, 244, 270"
27,59,undirected,2,Friendly,"124, 244"
79,78,undirected,1,Friendly,130
10,78,undirected,2,Friendly,"130, 244"
80,78,undirected,1,Hostile,130
81,28,undirected,1,Friendly,131
77,28,undirected,1,Friendly,142
77,82,undirected,1,Friendly,142
82,76,undirected,1,Friendly,142
28,76,undirected,1,Friendly,142
28,82,undirected,1,Friendly,142
75,83,undirected,1,Friendly,143
75,84,undirected,1,Friendly,143
75,85,undirected,1,Friendly,143
75,86,undirected,1,Friendly,143
85,86,undirected,1,Friendly,143
84,86,undirected,1,Friendly,143
83,86,undirected,1,Friendly,143
83,84,undirected,1,Friendly,143
83,85,undirected,1,Friendly,143
84,85,undirected,1,Friendly,143
28,75,undirected,1,Hostile,143
28,83,undirected,1,Hostile,143
28,84,undirected,1,Hostile,143
28,85,undirected,1,Hostile,143
28,86,undirected,1,Hostile,143
77,10,undirected,1,Friendly,147
87,10,undirected,1,Friendly,150
88,10,undirected,1,Friendly,150
89,10,undirected,1,Friendly,150
75,42,undirected,1,Hostile,118
75,76,undirected,1,Friendly,118
42,76,undirected,1,Friendly,118
10,76,undirected,6,Friendly,"150, 169, 170, 183, 196, 228"
90,91,undirected,1,Friendly,152
92,91,undirected,1,Friendly,152
92,93,undirected,1,Friendly,152
42,90,undirected,1,Friendly,152
43,90,undirected,3,Friendly,"152, 166, 168"
43,94,undirected,1,Friendly,152
95,42,undirected,1,Friendly,152
96,42,undirected,2,Hostile,"152, 166"
96,10,undirected,2,Friendly,"152, 166"
97,10,undirected,1,Hostile,152
98,99,undirected,1,Friendly,153
98,10,undirected,1,Friendly,153
98,97,undirected,1,Friendly,153
2,61,undirected,1,Friendly,159
8,61,undirected,1,Friendly,159
23,61,undirected,1,Friendly,159
10,100,undirected,1,Friendly,165
42,100,undirected,1,Hostile,165
90,95,undirected,1,Friendly,168
57,76,undirected,1,Friendly,169
54,10,undirected,1,Friendly,170
101,10,undirected,1,Friendly,170
102,10,undirected,1,Friendly,170
102,101,undirected,1,Friendly,170
102,54,undirected,1,Friendly,170
101,54,undirected,1,Friendly,170
101,76,undirected,1,Friendly,170
54,76,undirected,1,Friendly,170
102,76,undirected,1,Friendly,170
103,10,undirected,1,Friendly,174
103,90,undirected,1,Hostile,174
10,90,undirected,1,Hostile,175
42,104,undirected,1,Friendly,181
42,105,undirected,1,Friendly,181
10,46,undirected,2,Hostile,"181, 184"
10,106,undirected,1,Friendly,188
46,106,undirected,1,Hostile,188
46,10,undirected,1,Friendly,192
2,107,undirected,1,Friendly,197
2,108,undirected,1,Friendly,197
107,108,undirected,1,Friendly,197
11,108,undirected,1,Friendly,197
23,108,undirected,1,Friendly,197
23,11,undirected,1,Friendly,197
23,107,undirected,1,Friendly,197
11,107,undirected,2,Friendly,"197, 335"
10,107,undirected,1,Friendly,197
10,108,undirected,1,Friendly,197
10,109,undirected,1,Friendly,202
10,110,undirected,4,Friendly,"204, 278, 287, 309"
10,111,undirected,1,Friendly,209
10,112,undirected,1,Friendly,211
112,28,undirected,1,Friendly,211
79,28,undirected,1,Friendly,212
10,79,undirected,1,Friendly,212
113,114,undirected,1,Friendly,216
10,113,undirected,9,Friendly,"216, 229, 237, 242, 244, 270, 282, 306, 346"
10,115,undirected,1,Hostile,217
116,115,undirected,1,Friendly,217
116,10,undirected,1,Friendly,217
115,16,undirected,1,Friendly,217
117,10,undirected,1,Friendly,218
118,10,undirected,1,Hostile,219
57,115,undirected,1,Hostile,218
59,78,undirected,2,Friendly,"220, 244"
119,120,undirected,1,Friendly,223
10,119,undirected,1,Hostile,223
113,76,undirected,1,Friendly,229
16,121,undirected,1,Friendly,230
16,122,undirected,1,Friendly,230
16,57,undirected,1,Hostile,230
10,76,undirected,1,Hostile,232
123,76,undirected,1,Hostile,233
123,10,undirected,1,Friendly,233
124,10,undirected,1,Hostile,238
124,125,undirected,1,Friendly,238
10,125,undirected,1,Hostile,238
113,28,undirected,2,Friendly,"244, 270"
113,27,undirected,2,Friendly,"244, 270"
113,57,undirected,2,Friendly,"244, 270"
113,59,undirected,1,Friendly,244
113,78,undirected,1,Friendly,244
28,78,undirected,1,Friendly,244
27,78,undirected,1,Friendly,244
57,78,undirected,1,Friendly,244
128,126,undirected,1,Friendly,245
127,126,undirected,1,Friendly,245
62,113,undirected,2,Hostile,"246, 253"
62,27,undirected,1,Hostile,247
62,54,undirected,1,Hostile,249
62,129,undirected,1,Hostile,249
10,129,undirected,1,Friendly,249
10,126,undirected,1,Friendly,251
10,128,undirected,1,Friendly,251
130,131,undirected,3,Friendly,"255, 266, 286"
132,10,undirected,2,Friendly,"256, 267"
133,10,undirected,4,Friendly,"256, 257, 267, 269"
133,131,undirected,2,Friendly,"256, 269"
134,131,undirected,1,Friendly,256
134,108,undirected,1,Friendly,256
134,130,undirected,1,Friendly,256
133,130,undirected,2,Friendly,"256, 269"
135,136,undirected,1,Friendly,257
135,130,undirected,2,Friendly,"258, 326"
135,137,undirected,1,Hostile,258
130,137,undirected,1,Friendly,258
135,10,undirected,1,Friendly,258
130,10,undirected,4,Friendly,"258, 266, 266, 286"
131,10,undirected,9,Friendly,"258, 264, 286, 310, 329, 330, 331, 334, 344"
23,131,undirected,1,Friendly,259
23,130,undirected,1,Friendly,259
138,131,undirected,1,Friendly,263
63,131,undirected,1,Friendly,264
139,130,undirected,2,Friendly,"266, 326"
139,131,undirected,1,Friendly,266
139,10,undirected,4,Friendly,"266, 290, 343, 343"
130,10,undirected,1,Hostile,267
130,133,undirected,1,Hostile,267
130,140,undirected,1,Hostile,267
130,132,undirected,1,Hostile,267
130,141,undirected,1,Hostile,267
132,141,undirected,1,Friendly,267
140,141,undirected,1,Friendly,267
133,141,undirected,1,Friendly,267
10,141,undirected,1,Friendly,267
10,140,undirected,1,Friendly,267
140,132,undirected,1,Friendly,267
133,132,undirected,1,Friendly,267
133,140,undirected,1,Friendly,267
142,10,undirected,3,Friendly,"269, 324, 343"
133,139,undirected,1,Friendly,269
2,57,undirected,1,Friendly,270
2,27,undirected,1,Friendly,270
2,113,undirected,1,Friendly,270
23,113,undirected,1,Friendly,270
23,27,undirected,1,Friendly,270
23,57,undirected,1,Friendly,270
23,28,undirected,1,Friendly,270
143,10,undirected,1,Friendly,274
110,23,undirected,1,Hostile,279
139,142,undirected,2,Friendly,"280, 326"
139,144,undirected,1,Friendly,280
139,145,undirected,2,Friendly,"280, 326"
144,145,undirected,1,Friendly,280
142,145,undirected,2,Friendly,"280, 326"
142,144,undirected,1,Friendly,280
10,144,undirected,2,Friendly,"281, 281"
69,64,undirected,1,Hostile,284
69,10,undirected,1,Friendly,284
57,54,undirected,1,Friendly,284
57,129,undirected,1,Friendly,284
54,129,undirected,6,Friendly,"284, 335, 336, 346, 348, 352"
57,69,undirected,1,Friendly,285
147,146,undirected,1,Friendly,285
10,146,undirected,1,Friendly,285
131,146,undirected,1,Friendly,285
131,135,undirected,1,Friendly,285
2,110,undirected,1,Friendly,288
148,110,undirected,1,Friendly,288
148,2,undirected,1,Friendly,288
149,2,undirected,1,Friendly,289
149,110,undirected,2,Friendly,"289, 310"
8,110,undirected,1,Friendly,289
150,2,undirected,2,Friendly,"289, 308"
150,110,undirected,3,Friendly,"289, 309, 310"
150,8,undirected,1,Friendly,289
150,149,undirected,2,Friendly,"289, 310"
151,10,undirected,1,Friendly,290
152,28,undirected,1,Friendly,296
104,28,undirected,1,Hostile,296
104,10,undirected,1,Hostile,296
10,153,undirected,1,Hostile,299
10,154,undirected,2,Hostile,"299, 302"
138,155,undirected,1,Friendly,299
156,155,undirected,1,Hostile,299
156,138,undirected,1,Hostile,299
10,138,undirected,1,Hostile,299
10,155,undirected,1,Hostile,299
10,139,undirected,1,Hostile,299
135,139,undirected,2,Friendly,"300, 326"
153,139,undirected,1,Hostile,300
153,135,undirected,1,Hostile,300
154,10,undirected,1,Friendly,303
57,157,undirected,1,Hostile,304
57,158,undirected,1,Hostile,305
76,158,undirected,1,Hostile,305
150,10,undirected,1,Friendly,309
131,2,undirected,1,Friendly,311
10,159,undirected,1,Friendly,316
10,160,undirected,1,Hostile,318
130,142,undirected,1,Friendly,326
130,145,undirected,1,Friendly,326
162,163,undirected,1,Friendly,326
162,10,undirected,1,Friendly,326
145,161,undirected,1,Friendly,326
145,164,undirected,1,Friendly,326
145,162,undirected,1,Friendly,326
145,135,undirected,1,Friendly,326
130,162,undirected,1,Friendly,326
130,164,undirected,1,Friendly,326
130,161,undirected,1,Friendly,326
139,161,undirected,1,Friendly,326
139,164,undirected,1,Friendly,326
139,162,undirected,1,Friendly,326
142,135,undirected,1,Friendly,326
142,162,undirected,1,Friendly,326
142,164,undirected,1,Friendly,326
142,161,undirected,1,Friendly,326
164,161,undirected,1,Friendly,326
162,161,undirected,1,Friendly,326
135,161,undirected,1,Friendly,326
135,162,undirected,1,Friendly,326
135,164,undirected,1,Friendly,326
162,164,undirected,1,Friendly,326
165,139,undirected,1,Friendly,327
165,142,undirected,1,Friendly,328
166,57,undirected,1,Hostile,330
10,167,undirected,1,Friendly,330
168,167,undirected,1,Friendly,330
169,57,undirected,1,Friendly,330
10,166,undirected,1,Friendly,331
10,166,undirected,1,Hostile,330
170,64,undirected,1,Hostile,333
171,10,undirected,1,Hostile,334
11,54,undirected,3,Friendly,"335, 335, 346"
11,129,undirected,2,Friendly,"335, 346"
107,129,undirected,1,Friendly,335
113,11,undirected,1,Friendly,335
113,107,undirected,1,Friendly,335
113,54,undirected,3,Friendly,"335, 348, 352"
113,129,undirected,3,Friendly,"335, 348, 352"
172,54,undirected,1,Friendly,336
172,129,undirected,1,Friendly,336
57,90,undirected,4,Hostile,"336, 336, 336, 336"
10,173,undirected,1,Friendly,343
10,164,undirected,1,Friendly,343
10,174,undirected,1,Friendly,343
164,174,undirected,1,Friendly,343
173,174,undirected,1,Friendly,343
173,164,undirected,1,Friendly,343
17,23,undirected,2,Friendly,"346, 353"
10,54,undirected,1,Hostile,349
10,129,undirected,1,Hostile,349
10,113,undirected,1,Hostile,349
10,175,undirected,1,Friendly,348
113,175,undirected,1,Hostile,350
23,176,undirected,1,Friendly,353
113,15,undirected,1,Hostile,356
113,23,undirected,1,Hostile,357
