degree,19,59,4,1,3,2,12,21,252,17,10,9,6,29,33,5,53,41,67,24,22,62,7,8,15,13,25,16,20,11,14
frequency,1,1,11,53,19,37,3,1,1,3,6,3,4,1,1,11,1,1,1,1,2,1,3,2,1,1,1,1,1,1,2
